,cat,dosen,id,mhs,name,prov,url
4077,Swasta,19,213253,577,STIT Al-Muslihun Tlogo Kanaigoro Blitar,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MTVBNDI2NDQtQkJEQS00REI1LUJFQjctRTE2QjE0QzdGOThG
4078,Swasta,9,213254,1360,STIT Al-Urwatul Wutsqo Jombang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NjA4QUFCQjktNjE5RS00MkI4LTlDNTQtQjdDNTc3OTcyNTRF
4079,Swasta,6,213255,681,STIT Aqidah Usymuni Sumenep,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QzFGRTZGOTgtOThFMC00MjBGLUIwMTctQzFCMEFDOEFGNjlE
4080,Swasta,6,213256,403,STIT Darussalimin NW Praya Lombok Tengah Nusa Tenggara Barat,Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0M5MjBFNkUtMUYzNS00Qjc4LUI2NUEtRjFGOTc0QzA0RTdG
4081,Swasta,12,213257,20,STIT Ibnu Sina Malang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEVGQkFEQTktNUI0My00RkEyLTk2MkMtOTFCMDkxOUFGRjI2
4082,Swasta,6,213258,225,STIT Islamiyah Karya Pembangunan Paron Ngawi,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NzAwODk3RTQtNjAwOC00QTEwLUFDOTgtNzIwRDMxNDAxMTcw
4083,Swasta,11,213259,124,"STIT Jembrana Kab. Jembrana, Bali",Prop. Bali,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QTQwQkYyNjItNDM5RC00M0I4LTlDQjUtMzkwMDhCQTczRTMx
4084,Swasta,14,213260,492,STIT Makhdum Ibrahim (STITMA) Tuban,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjJGQkU4ODAtMTZDRC00RjA0LTlDRUYtMjgyODk3ODRDN0NG
4085,Swasta,6,213261,168,STIT Maskumambang Gresik,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NDBGNjNBOTgtQjQxQi00NzhDLUJDMkYtMkQ4RjkwNzI3NTg3
4086,Swasta,3,213262,308,STIT Miftahul Ulum Bangkalan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEFEQkFDMUItMDJDMC00Qzk2LTg0MUMtQzdCMzQ3QTAyNEYz
4087,Swasta,5,213263,171,"STIT Muhammadiyah Bangil, Pasuruan",Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEQzNEMzRkUtNUM5Ny00ODE2LUIwMUItMTNDNTMyMzlBNTY0
4088,Swasta,4,213264,244,STIT Muhammadiyah Bojonegoro,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjAyQjdCM0MtQjI3MS00QTVDLUJGMzItMEU5MDdBQjI5NzVF
4089,Swasta,1,213265,58,STIT Muhammadiyah Kediri,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MkM2RjY2M0YtRjMyMS00OTMwLUI2MDgtRjZENkY0RDNBODZB
4090,Swasta,1,213266,127,STIT Muhammadiyah Lumajang,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDYzRjRENjAtMjIzRC00QzVDLTgyMDMtODExNzdBNDg1QTZC
4091,Swasta,0,213267,0,STIT Muhammadiyah Mojosari Mojokerto,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDQzQTIzRUQtQTZDMi00N0Y5LTgyMzMtQUM5ODA2NTlEMDMw
4092,Swasta,10,213268,107,STIT Muhammadiyah Pacitan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NzQ5QUM5MkMtOTU3My00OTAzLUIxMzgtNDk2MEM4NDFFNkEy
4093,Swasta,7,213269,243,STIT Muhammadiyah Tempurejo Ngawi,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MkRFOTczQUUtODYwRS00RTI2LTk0OTctNzBBNzUwRkQ3RDUz
4094,Swasta,0,213270,0,STIT Muhammadiyah Trenggalek,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjVBRDQyNDYtQTlDNi00RkE1LTk5MUMtMTNEQTBFNkM2QkEz
4095,Swasta,5,213271,188,STIT PGRI Pasuruan,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RjI3QTcyODgtNzEyRS00NUVGLUFDMjctNzI5RkUwMkVBODBF
4096,Swasta,4,213272,6,STIT Raden Santri Gresik,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/ODgxMjQxNkMtMjczNi00NEU1LUE3MUUtRTc2MzM2RDkwMjhC
4097,Swasta,6,213273,757,STIT Raden Wijaya Mojokerto,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEQ2MEM4QTItMEQzNS00NkM1LUE0RDMtNjUwMUIzRTgzNDlB
4098,Swasta,13,213274,441,"STIT Sunan Giri Bima, NTB",Prop. Nusa Tenggara Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MEQzRkZCNzQtNUJFRC00NDA1LUFFODQtRkM2MEZDOTMzNDZE
4099,Swasta,15,213275,356,STIT Sunan Giri Trenggalek,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NzUzRUZBMjMtRkVEMC00NTgzLUI3MEMtNEJDOEFEMkM3OUNE
4100,Swasta,32,213276,547,STIT Uluwiyah Mojosari Mojokerto,Prop. Jawa Timur,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0FBNUJFRDEtOURDNy00REIyLThDQjctMEJEOTNDODMxRUU2
4101,Swasta,0,213277,233,STAI Almuslim Bireun,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RjkzRDgwQkItMUQyMC00QkU1LUExRjEtNEQ1NjIzODU1RjJE
4102,Swasta,9,213278,195,STAI Al-Washliyah Banda Aceh,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDdGNjkwNDktRDBEMS00MkQxLTg1NTktQkZGNTk5REMzOERG
4103,Swasta,0,213279,0,STAI Ar-Rahman Aceh Selatan,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Qzk3NTE1NDktOTgwNS00MjVGLUFBMzAtQzBGQUJEQUY2ODA1
4104,Swasta,8,213280,82,STAI Nusantara Kota Banda Aceh,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RjY0NkI2QjItMTZGQS00NzhBLUE2QkQtQzQ3QzRDMENFQTAw
4105,Swasta,6,213281,76,STAI PTIQ Kota Banda Aceh,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/M0VCQkYyNjgtQUU2Ni00NUJCLUJCREMtNjMyRjI2NTZGMUEw
4106,Swasta,9,213282,4,STAI Sepakat Segenep Kutacane Aceh Tenggara,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MjVGQzY0NTQtQkZCMS00OTM2LUEwRjEtMkMxQzg4ODJCQTRF
4107,Swasta,16,213283,201,STAI Syekh Abdur Rauf Singkil,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RTc3OTRGM0UtMjA1NS00NUQ1LThEREYtOUQ4QjFDMURCNDM0
4108,Swasta,39,213284,1059,STAI Teungku Dirundeng Meulaboh Aceh Barat,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NkM3NkZCNDEtMkQ2RS00MTVGLThCNjItQkYwODM5OEY4MDZD
4109,Swasta,15,213285,74,STAI Tgk. Chik Pante Kulu Kota Banda Aceh,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QUNGNTQ4NjAtQ0YzMi00ODFCLThFMDMtODdDMTc4NTg5OTQz
4110,Swasta,21,213286,860,STIS Al-Hilal Sigli Kab. Pidie,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/MDVFNDUzNkUtRjFFMC00NkFBLTlDODYtMUJBRUJDNjE4QjdB
4111,Swasta,4,213287,53,STAI Jami`atul Tarbiyah Lhoksukon Aceh Utara,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDYwRTJCNTEtQjJFQy00RDVGLUFFQ0UtQjcyMjgxMDlEQ0I3
4112,Swasta,28,213288,855,STIT PTI Al-Hilal Sigli Kab. Pidie,Prop. Aceh,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDUwOTVGOTEtQkFBRi00QUVGLUJCQkItN0EzNUU0NkMxMzcy
4113,Swasta,6,213289,0,"STAI Al-Hikmah Pariangan Batusangkar, Tanah Datar",Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/NEY4RTdDQjUtQ0RGOC00MzU5LUExRjQtRjdGQ0VEM0QxQkI2
4114,Swasta,12,213290,63,"STAI Madrasah `Arabiyah (STAIMA) Bayang, Pesisir Selatan, Sumatera Barat",Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/QjZFQzcwQkMtREQzMy00MkIyLUExRTItRDEwNkVFQ0REMjlB
4115,Swasta,8,213291,103,"STAI Pengembangan Ilmu Al-Qur`an (STAIPIQ), Kota Padang, Sumatera Barat",Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/OTVDNkI2REEtRTk3OS00QUE3LTg0N0EtMTI4N0YwQzRDQzBF
4116,Swasta,12,213292,18,"STAI Solok Nan Indah, Kota Padang",Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/RDQxQkMzOUYtM0UwOS00QTY3LTlDQTYtRkZFMUYyN0VERTI5
4117,Swasta,4,213293,117,"STAI Umar Bin Khattab di Ujunggading, Pasaman Barat, Sumatera Barat",Prop. Sumatera Barat,http://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0Q0NDU4REUtNjFFRC00RTUzLUJBMjMtRkUxMkFGMzYyMkY3
