Div,Kode,Lembaga,D_P,D_NP,D_TOTAL,D_CERT_Y,D_CERT_N,D_P_ED_D1,D_P_ED_D2,D_P_ED_D3,D_P_ED_D4,D_P_ED_S1,D_P_ED_S2,D_P_ED_S3,D_P_ED_NONFORM,D_P_ED_INF,D_P_ED_MISC,D_P_ED_SP1,D_P_ED_SP2,D_P_ED_PROF,D_P_ED_NA
N,5016,Politeknik Negeri Lhokseumawe ,305,0,305,235,70,0,0,0,3,25,261,7,0,0,0,0,0,0,9
N,5017,Politeknik Negeri Kupang ,165,0,165,130,36,0,0,0,0,12,150,3,0,0,0,0,0,0,0
N,5018,Politeknik Elektronik Negeri Surabaya ,161,1,162,108,53,0,0,0,0,11,108,29,0,0,0,0,0,0,13
N,5019,Politeknik Negeri Jember ,175,0,175,129,46,0,0,0,0,21,130,19,0,0,0,0,0,0,5
N,5020,Politeknik Pertanian Negeri Pangkajene Kepulauan ,158,0,158,144,14,0,0,0,0,0,137,21,0,0,0,0,0,0,0
N,5021,Politeknik Pertanian Negeri Kupang ,155,0,155,130,25,0,0,0,0,13,131,10,0,0,0,0,0,0,1
N,5022,Politeknik Perikanan Negeri Tual ,88,0,88,0,0,0,0,0,0,16,68,4,0,0,0,0,0,0,0
N,5023,Politeknik Negeri Malang ,402,17,419,317,85,0,0,0,0,22,332,39,0,0,0,0,0,0,9
N,5024,Politeknik Pertanian Negeri Samarinda ,88,0,88,71,17,0,0,0,0,5,72,6,0,0,0,0,0,0,5
N,5025,Politeknik Pertanian Negeri Payakumbuh ,154,1,155,127,27,0,0,0,0,7,133,5,0,0,0,0,0,0,9
N,5026,Politeknik Negeri Samarinda ,246,14,260,198,48,0,0,0,1,17,219,9,0,0,0,0,0,0,0
N,5027,Politeknik Negeri Media Kreatif ,77,32,109,40,37,0,0,0,0,8,61,5,0,0,0,0,0,0,3
N,5028,Politeknik Manufaktur Negeri Bangka Belitung ,53,17,70,18,35,0,0,1,18,3,30,1,0,0,0,0,0,0,0
N,5029,Politeknik Negeri Batam ,71,28,99,29,43,0,0,0,1,11,56,1,0,0,0,0,1,0,1
N,5030,Politeknik Negeri Nusa Utara ,42,18,60,0,43,0,0,0,1,30,2,0,0,0,0,0,0,0,9
N,5031,Politeknik Negeri Bengkalis ,89,22,111,34,55,0,0,0,0,10,75,0,0,0,0,0,0,0,4
N,5032,Politeknik Negeri Balikpapan ,35,26,61,12,23,0,0,0,0,3,31,1,0,0,0,0,0,0,0
N,5033,Politeknik Negeri Madura ,4,9,13,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0
N,5034,Politeknik Maritim Negeri Indonesia ,28,0,28,3,25,0,0,2,6,7,10,1,0,0,0,0,0,0,2
N,5035,Politeknik Negeri Banyuwangi ,41,6,47,1,40,0,0,0,5,24,9,0,0,0,0,0,0,0,3
N,5036,Politeknik Negeri Madiun ,56,5,61,0,56,0,0,0,1,11,34,0,0,0,0,0,0,0,10
N,5037,Politeknik Negeri Fakfak ,9,12,21,0,9,0,0,0,2,3,4,0,0,0,0,0,0,0,0
N,5038,Politeknik Negeri Sambas ,55,0,55,0,55,0,0,0,0,9,46,0,0,0,0,0,0,0,0
N,5039,Politeknik Negeri Tanah Laut ,26,2,28,3,23,0,0,0,0,0,26,0,0,0,0,0,0,0,0
N,5040,Politeknik Negeri Subang ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,5041,Politeknik Negeri Ketapang ,33,0,33,2,31,0,0,0,8,6,19,0,0,0,0,0,0,0,0
N,5042,Politeknik Negeri Cilacap ,25,1,26,3,22,0,0,0,0,3,22,0,0,0,0,0,0,0,0
N,5043,Politeknik Negeri Indramayu ,25,1,26,0,25,0,0,0,0,3,22,0,0,0,0,0,0,0,0
N,6001,Akademi Komunitas Negeri Pacitan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
